Dif. SG_N,Dif. SG_P,Early round SD_N,Early round SD_P,Elong. SD_N,Elong. SD_P,Late round SD_N,Late round SD_P,Macrophage_N,Macrophage_P,SC.I_N,SC.I_P,SC.II_N,SC.II_P,Sertoli_N,Sertoli_P,Undif. SG_N,Undif. SG_P
TRAF3,4.627126526031433e-78,CCDC60,1.1507456381649342e-176,CASC17,9.832986312337408e-160,LOC105370832,8.465120364236478e-195,DST,2.847846195336589e-29,LOC105372666,7.951134522518018e-244,ESR2,1.6273308839462242e-190,ZNF536,5.249186619463053e-176,LINC02096,1.136430888550171e-141
HERC5,1.018418527081903e-77,C4orf45,8.234235989790125e-177,LOC101927118,3.387188932209576e-158,LOC101928882,4.2570251195134776e-193,LDB2,3.174509941323368e-29,BUB1,1.5778106490570624e-236,SPAG6,6.68111267572381e-195,JAZF1,1.8853236143890067e-175,LINC02645,4.7639236285503906e-142
LOC105379110,1.8494022481062584e-75,LRBA,2.1374432391219905e-177,GABRG3-AS1,8.544497368716583e-160,LOC101929492,1.670017808309683e-194,N4BP2L2,3.843800764084673e-29,STAG3L5P-PVRIG2P-PILRB,5.225058105698401e-239,CLOCK,1.5627028134509198e-192,ASTN2,7.6301637670757445e-174,MACROD2,5.738848099317458e-142
amplicon-chrX-GAGE10/1/2A/13/12B/12C/12D/12E/12F/12G/12H/12J,4.3028656096891856e-75,ODAD2,4.6417010096498395e-176,FGF14,1.698645398429222e-157,MTHFD2L,9.6692375055661e-191,FBN1,6.265674078356908e-29,ASH1L,6.658517544744058e-240,LINC01210,3.792796514705684e-188,PRKD1,4.1710381577415555e-174,SH3GL2,2.502689313851652e-138
PACS1,5.905410934071002e-75,FAM189A1,1.2579681329972982e-174,PRM1,4.555482510005262e-157,CTNNA3,1.3098929226716628e-189,MUSK,1.3435665128124766e-28,CCDC7,1.9662807869492879e-240,MIS18A,3.118596792917004e-186,CAMK2D,1.2797173454238718e-175,NEDD4L,9.000047793099042e-139
NR3C2,1.554517564499127e-74,PARP8,5.046634918138523e-175,LOC107985960,9.557682716819194e-157,RBAKDN,5.888986976589806e-192,SH3PXD2B,1.809426312463254e-28,MIR4713HG,1.0400834546850391e-231,POTEI,2.2483681558251696e-185,ADK,3.492139554646002e-175,KCNN2,1.1501659927968804e-137
GNB1,6.104169284117585e-74,TTC23L,1.8391943063252758e-174,FAM163A,3.974241851361066e-154,C12orf42,7.542415573594239e-190,RUNX1T1,2.133470117694581e-28,TNFAIP8L3,1.0927867342748334e-231,LOC105374660,1.0648249257246e-183,PDK3,3.871374783500117e-173,EFNA5,3.0904185929343747e-138
GLG1,1.8452615637284124e-73,RGL1,6.314665401444608e-174,LINC01517,8.6362623710041e-154,LRRTM3,1.4772282829104364e-186,LPP,1.8163231330531393e-28,LOC102724938,1.3581085694448638e-231,GLIPR1L1,2.7014808377629713e-184,LOC112268302,2.943676211054709e-172,NFIB,2.846328223119425e-136
APLP2,1.20303765991615e-72,MEI4,2.8944504553910964e-171,LTN1,1.7505146034475887e-152,LOC102724057,9.474064152258672e-187,NEGR1,2.790403319971165e-28,PABPC1,3.481503026135423e-236,C1orf167,3.501839181662957e-183,SLF2,4.1048356824664003e-172,PPM1L,9.563920456692682e-136
SND1,1.813683328666755e-72,ZNF133-AS1,9.604933556200826e-170,RBAK-RBAKDN,4.41322050872391e-153,NPIPB15,4.057586964378537e-186,ABCA9,4.480838061686735e-28,LINC01572,6.365838053715158e-232,EFCAB5,4.615453258586028e-182,SMARCA1,1.2812311366965747e-171,NCAM2,4.594310913926493e-136
AAK1,5.25722893373759e-72,DCDC1,4.502600618784049e-170,UQCRB,2.602165286006163e-148,MAST4,1.6217085584037035e-184,ZBTB16,5.730294960604735e-28,CCDC144A,6.994031415674895e-234,LINC01501,1.3350939086285163e-181,ATXN1,1.1344879120611951e-170,DAB1,1.1165727282668974e-135
LINC02055,5.069255018206072e-72,PHLPP1,9.57748952271478e-170,GSTCD,3.7752711463604096e-148,TAFA2,1.064192707667606e-183,COL4A3,2.0818904915344555e-27,TPST1,1.8986490252860166e-230,CCDC7,2.4525743991812573e-184,DAAM1,1.1130648651748686e-170,TEX41,2.2218558097614253e-132
SHTN1,5.86248334794286e-72,TTC6,2.0895202293562563e-167,DRICH1,8.486108846104414e-148,RBAK-RBAKDN,2.638962433666169e-184,KLF12,2.52026885632124e-27,SETD2,2.9358731279327704e-230,LINC00879,2.4770914458169365e-181,MARK4,2.6361240192092456e-169,OFCC1,8.477193581637153e-132
MBOAT2,1.0874241672712182e-71,LOC101929894,5.6372627641976996e-167,LOC107984704,3.875929908994534e-146,FAM186A,2.8483685715031875e-182,MITF,2.988122989749445e-27,MYHAS,8.346738222081258e-228,STK33,4.0903021530308296e-184,TAOK3,4.332053269153447e-171,PRKCA,3.175455892458992e-132
ASPM,1.6333848544773378e-71,SLC35F1,2.3370063727786814e-166,GPD2,3.1808613114442134e-144,PCDH9-AS3,3.757430106519294e-179,C1S,3.726622716834717e-27,MALAT1,1.9007075415282937e-232,FAM227B,3.617487533291781e-181,REEP1,5.537904092965295e-168,NRXN1,9.57555349933784e-133
DPEP3,1.9852197603948496e-71,TMEM108,1.6913511940613581e-167,CRPPA-AS1,3.685601113746467e-144,ERICH2,9.526450772981203e-181,LINC02388,4.407970113184225e-27,PIWIL1,2.6545489240495125e-220,ANXA4,1.1897783959668036e-179,LAMA2,1.283170455774743e-169,HMGB1,8.950369583515792e-128
AKAP13,9.422425076881984e-71,METTL15,9.252717636389339e-165,DNAJB3,1.966591228823346e-144,LOC105370003,8.362367003455649e-178,PBX1,7.557179890161297e-27,WDR70,6.511400337427821e-222,LOC102723560,5.572064321750496e-179,MBNL2,3.333582352954095e-167,ZNF521,2.3670475879911166e-127
